#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B2DE67
#Date Time: 2026-08-01 21:14:50.976
#Sample rate: 57670.1Hz
#Samples: 4096

Time (s),UART
-0.00371076,l
-0.00369342,l
-0.00367608,l
-0.00365874,l
-0.0036414,l
-0.00362406,l
-0.00360672,l
-0.00358938,l
-0.0035720400000000003,l
-0.0035547,l
-0.0035373600000000002,l
-0.00352002,l
-0.00350268,l
-0.00348534,X
-0.003468,X
-0.00345066,l
-0.00343332,l
-0.0034159800000000003,l
-0.00339864,l
-0.0033813000000000003,l
-0.00336396,l
-0.0033466200000000002,l
-0.00332928,l
-0.00331194,l
-0.0032946,l
-0.00327726,l
-0.00325992,l
-0.00324258,l
-0.0032252400000000003,l
-0.0032079,l
-0.0031905600000000003,l
-0.00317322,l
-0.0031558800000000002,l
-0.00313854,l
-0.0031212,l
-0.00310386,l
-0.00308652,l
-0.00306918,l
-0.00305184,l
-0.0030345000000000003,l
-0.00301716,l
-0.0029998200000000003,l
-0.00298248,l
-0.0029651400000000002,l
-0.0029478,l
-0.00293046,l
-0.00291312,l
-0.00289578,l
-0.00287844,l
-0.0028611,l
-0.0028437600000000003,l
-0.00282642,l
-0.0028090800000000003,l
-0.00279174,l
-0.0027744,l
-0.00275706,l
-0.00273972,l
-0.00272238,l
-0.00270504,l
-0.0026877,l
-0.00267036,l
-0.0026530200000000003,l
-0.00263568,l
-0.0026183400000000003,l
-0.002601,l
-0.00258366,l
-0.00256632,l
-0.00254898,l
-0.00253164,l
-0.0025143,l
-0.00249696,l
-0.00247962,l
-0.0024622800000000003,l
-0.00244494,l
-0.0024276000000000002,X
-0.00241026,X
-0.00239292,o
-0.00237558,o
-0.00235824,o
-0.0023409,o
-0.00232356,o
-0.00230622,o
-0.00228888,o
-0.0022715400000000003,o
-0.0022542,o
-0.0022368600000000002,o
-0.00221952,o
-0.00220218,o
-0.00218484,o
-0.0021675,o
-0.00215016,o
-0.00213282,o
-0.00211548,o
-0.00209814,o
-0.0020808000000000003,o
-0.00206346,o
